# GAIA,TWOMASS,pmRA,pmDEC,d,plx,m_h,m_h_err,alpha_m,alpha_m_err
2422973128223412224,              00234747-1404550,82.5717010498,-253.62399292,237.113998413,4.18907022476,-1.46176159382,0.0216098632663,0.216508999467,0.0234180390835
2505027821282824704,              01591139-0155218,-43.7406997681,-143.886001587,353.968994141,2.79692006111,-0.554459035397,0.0142642818391,0.207024991512,0.00969533156604
3214008556849894912,              05200937-0239408,210.095993042,-135.591003418,189.764007568,5.24120998383,-0.756408989429,0.01617179811,0.217944994569,0.0135303083807
 190731736613109120,              05313118+3916413,189.055999756,-178.731002808,212.195007324,4.68520021439,-0.485068976879,0.0169951915741,0.246755003929,0.00703870691359
 190731736613109120,              05313118+3916413,189.055999756,-178.731002808,212.195007324,4.68520021439,-0.485068976879,0.0169951915741,0.246755003929,0.00703870691359
 881215693005560064,              08010591+3245571,164.708999634,-207.779998779,225.518005371,4.40606021881,-1.46846151352,0.0249600652605,0.369648993015,0.0262876152992
 881215693005560064,              08010591+3245571,164.708999634,-207.779998779,225.518005371,4.40606021881,-1.34624898434,0.0302595216781,0.356164991856,0.0438224598765
 932820785922327936,              08044429+4659494,10.2536001205,-205.507995605,249.802993774,3.97475004196,-2.02506160736,0.0390516147017,0.374929010868,0.0421401336789
 909457645597008640,              08132596+3951571,-4.59915018082,-205.794006348,626.979980469,1.56628000736,-1.97086155415,0.11115090549,0.167768999934,0.0840970054269
1031967670704908672,              08222194+5328146,-146.315002441,-309.148986816,178.718994141,5.56655979156,-0.879709005356,0.0171582419425,0.268285006285,0.0126596968621
3080210322598944128,              08351237+0327594,144.42300415,-162.156005859,218.48399353,4.54906988144,-0.544239044189,0.0161635559052,0.189864993095,0.0131162758917
 690419295663797760,              08442470+2447483,-114.513000488,-348.212005615,138.406005859,7.19652986526,-1.33254897594,0.0480835773051,0.254965007305,0.0742458030581
 693354334578031872,              08564869+2834541,-125.552001953,-141.865005493,355.244995117,2.78875994682,-1.02734899521,0.0259131509811,0.209545001388,0.028782363981
 577364653940674432,              09033133+0225081,71.9589996338,-243.87399292,196.902999878,5.05020999908,-1.25496149063,0.0189714040607,0.352509021759,0.0205065570772
 580265062535943296,              09051442+0451474,-10.3277997971,-152.149993896,367.138000488,2.69548010826,-0.569779038429,0.0238414742053,0.076370999217,0.0245138015598
1011379899590855936,              09104809+4622370,-8.24223041534,-223.190994263,447.687988281,2.20508003235,-1.35526156425,0.0476163998246,0.0268290005624,0.0388554409146
 638654425665507584,              09183871+2220468,62.5877990723,-147.160995483,428.67098999,2.3045399189,-1.20374894142,0.0271008461714,0.164294987917,0.0272574946284
 800701823758272768,              09443785+3836387,212.263000488,-239.833999634,218.815002441,4.5417599678,-1.00584900379,0.0198488347232,0.110665000975,0.0250764992088
 793401341425993984,              09550634+3255513,-135.934997559,-263.658996582,252.667999268,3.92936992645,-1.68646156788,0.0478369668126,0.213278993964,0.045006737113
 755775022731464576,              10214484+3818591,-109.699996948,-105.652999878,388.17401123,2.54791998863,-0.935199022293,0.0227672681212,0.0526920035481,0.0273565910757
 833493795983661312,              10262569+4631099,108.247001648,-369.190002441,194.710006714,5.10706996918,-1.3711489439,0.0298137832433,0.188914999366,0.029761640355
 836835276243529728,              10394065+5045024,-72.0129013062,-181.106994629,300.292999268,3.3015100956,-0.535189032555,0.0195141453296,0.189224988222,0.0186569392681
 831609885892678016,              11013117+4751126,123.823997498,-490.095001221,130.513000488,7.63390016556,-1.39354896545,0.0204883981496,0.368014991283,0.0199860651046
 832771073246198016,              11024491+4925343,-17.1784992218,-242.287002563,300.110992432,3.30374002457,-1.13766157627,0.0141546530649,0.0829290002584,0.0159462112933
 789895514245227904,              11212354+4846084,84.5960006714,-233.828994751,226.567993164,4.38519001007,-1.38124895096,0.0326326824725,0.21018499136,0.0266886148602
 840140034535888128,              11400884+5243332,-2.7931599617,-239.630004883,219.160995483,4.53409004211,-1.06914889812,0.0212960205972,0.382934987545,0.0212940499187
 840140034535888128,              11400884+5243332,-2.7931599617,-239.630004883,219.160995483,4.53409004211,-1.08874893188,0.0225677192211,0.367464989424,0.02218323946
3572694195000456448,              11445119-1439090,-41.8089981079,-64.25340271,686.914978027,1.42707002163,-1.80284893513,0.0449016578496,0.183194994926,0.0809723883867
3999520898050866304,              11582080+2038412,-108.132003784,-53.1529006958,580.273010254,1.69498002529,-1.34304893017,0.0283972248435,0.172124996781,0.0280857458711
1533044393979519616,              12214419+3958089,-60.2103004456,-328.053985596,162.123001099,6.1394200325,-0.715299010277,0.0185468308628,0.236804991961,0.0127951353788
1554196489438794368,              13060638+4711558,-19.873500824,-167.350006104,387.358001709,2.55281996727,-0.971621572971,0.0270059872419,0.0661059990525,0.0247336067259
1461066480175878912,              13090031+2820411,7.30658006668,-152.223999023,387.361999512,2.55289006233,-1.03184890747,0.0241945646703,0.131145000458,0.0220216885209
1522481695009696256,              13093067+3725436,-97.9926986694,-63.3628997803,530.106994629,1.85759997368,-0.838641524315,0.0258650872856,0.130238994956,0.0230177119374
1463509079616458496,              13161075+3146434,48.9930992126,-538.344970703,124.230003357,8.02087020874,-0.876008987427,0.0185938607901,0.0718620046973,0.0135882915929
1454740062071816576,              13395246+2750228,-75.1297988892,-150.988006592,445.085998535,2.21801996231,-1.65696156025,0.0438488386571,0.348828971386,0.041995935142
1471541630532452224,              13455215+3653309,52.506401062,-122.336997986,367.476013184,2.69271993637,-0.590449035168,0.0185647755861,0.23586499691,0.0174403004348
1502700140796560512,              13590798+4456457,-27.3637008667,-283.738006592,219.121002197,4.53485012054,-0.457728981972,0.0137728750706,0.200014993548,0.0119193447754
1492696921446339840,              14221373+4323212,-135.654006958,-101.84400177,400.654998779,2.46711993217,-1.54786157608,0.0379640981555,0.31035900116,0.0368726439774
1608385057107116800,              14252363+5319221,-306.552001953,-458.196990967,126.413002014,7.88212013245,-2.19594883919,0.0380828380585,0.30134499073,0.0503660030663
